symbol	date	close
DCL	10-Oct-19	8.01
DCL	10-Nov-19	7.95
DCL	11-Jan-19	7.56
DCL	11-Apr-19	7.84
DCL	11-May-19	7.71
DCL	11-Jun-19	7.99
DCL	11-Jul-19	7.95
DCL	11-Aug-19	7.91
DCL	11-Nov-19	8.14
DCL	11-Dec-19	8.15
DCL	12-Feb-19	8.98
DCL	12-Mar-19	8.61
DCL	12-Apr-19	8.85
DCL	12-May-19	9.11
DCL	12-Jun-19	9.16
DCL	12-Sep-19	8.86
DCL	12-Oct-19	8.98
DCL	12-Nov-19	8.76
DCL	12-Dec-19	8.59
DCL	01-Jan-20	7.98
DCL	01-Feb-20	8.2
DCL	01-Mar-20	7.94
DCL	01-Jun-20	7.34
DCL	01-Jul-20	7.54
DCL	01-Aug-20	7.3
DCL	01-Sep-20	8.17
DCL	01-Oct-20	8.36
DCL	02-Mar-20	8.4
DCL	02-Apr-20	8.67
DCL	02-Jun-20	8.23
DCL	02-Jul-20	7.94
DCL	02-Oct-20	7.51
DCL	02-Nov-20	7.83
DCL	02-Dec-20	8.05
DCL	03-Feb-20	7.66
DCL	03-Mar-20	7.69
DCL	03-Apr-20	7.95
DCL	03-May-20	8.5
DCL	03-Jun-20	8.06
DCL	03-Sep-20	8.39
DCL	03-Oct-20	8.16
DCL	03-Nov-20	7.94
DCL	03-Dec-20	7.48
DCL	04-Jan-20	5.86
DCL	04-Feb-20	6.86
DCL	04-Mar-20	7.52
DCL	04-Jun-20	6.77
DCL	04-Jul-20	7.06
DCL	04-Aug-20	6.85
DCL	04-Sep-20	7.21
DCL	04-Oct-20	7.14
DCL	05-Apr-20	7.43
DCL	05-May-20	7.4
DCL	05-Jun-20	7.3
DCL	05-Jul-20	7.19
DCL	05-Aug-20	7.23
DCL	05-Nov-20	7.24
DCL	05-Dec-20	8.24
DCL	06-Jan-20	8.05
DCL	06-Feb-20	8.01
DCL	06-Mar-20	8
DCL	06-Apr-20	7.72
DCL	06-May-20	7.81
DCL	06-Aug-20	8.01
DCL	06-Sep-20	7.93
DCL	06-Oct-20	7.82
DCL	06-Nov-20	8.26
DCL	06-Dec-20	8.13
DCL	07-Jan-20	8.28
DCL	07-Feb-20	8.08
DCL	07-Mar-20	8.04
DCL	07-Jun-20	8.12
DCL	07-Jul-20	8.39
DCL	07-Aug-20	8.28
DCL	07-Sep-20	8.19
DCL	07-Oct-20	8.3
DCL	08-Mar-20	9.28
DCL	08-Apr-20	9.01
DCL	08-May-20	9.59
DCL	08-Jun-20	9.77
DCL	08-Jul-20	9.7
DCL	08-Oct-20	9.43
DCL	08-Nov-20	9.49
DCL	08-Dec-20	9.22
DCL	09-Jan-20	10.69
DCL	09-Feb-20	10.86
DCL	09-Mar-20	11.14
DCL	09-Apr-20	11.04
DCL	09-Jul-20	11.52
DCL	09-Aug-20	11.08
DCL	09-Sep-20	11.23
DCL	09-Oct-20	11.2
DCL	09-Nov-20	11.16
DCL	10-Jan-20	9.83
DCL	10-Feb-20	9.28
DCL	10-May-20	8.59
DCL	10-Jun-20	8.73
DCL	10-Jul-20	9.69
DCL	10-Aug-20	9.77
DCL	10-Sep-20	9.69
DCL	10-Dec-20	9.12
DCL	11-Feb-20	9.44
DCL	11-Mar-20	10.06
DCL	11-Apr-20	9.91
DCL	11-May-20	9.99
DCL	11-Jun-20	10.16
DCL	11-Sep-20	10.22
DCL	11-Oct-20	9.93
DCL	11-Nov-20	9.85
DCL	11-Dec-20	9.53
DCL	12-Jan-20	9.3
DCL	12-Feb-20	9.36
DCL	12-Mar-20	9.62
DCL	12-Apr-20	9.71
DCL	12-Jul-20	9.97
DCL	12-Aug-20	10.17
DCL	12-Sep-20	9.91
DCL	12-Oct-20	9.87
DCL	12-Nov-20	10.02
DCL	01-Jan-21	10.62
DCL	01-Apr-21	10.27
DCL	01-May-21	10.33
DCL	01-Jun-21	10.3
DCL	01-Jul-21	10.32
DCL	01-Aug-21	10.27
DCL	01-Nov-21	10.45
DCL	01-Dec-21	10.4
DCL	02-Jan-21	10.85
DCL	02-Feb-21	10.86
DCL	02-Mar-21	11.45
DCL	02-Apr-21	11.04
DCL	02-Aug-21	10.94
DCL	02-Sep-21	10.84
DCL	02-Oct-21	11.03
DCL	02-Nov-21	10.96
DCL	02-Dec-21	10.76
DCL	03-Jan-21	11.92
DCL	03-Feb-21	12.43
DCL	03-Mar-21	12.62
DCL	03-Apr-21	11.7
DCL	03-May-21	11.77
DCL	03-Aug-21	11.18
DCL	03-Sep-21	11.06
DCL	03-Oct-21	10.72
DCL	03-Nov-21	10.09
DCL	03-Dec-21	10.41
DCL	04-Jan-21	9.35
DCL	04-Feb-21	9.56
DCL	04-May-21	9.2
DCL	04-Jun-21	9.74
DCL	04-Jul-21	9.6
DCL	04-Aug-21	9.84
DCL	04-Sep-21	9.92
DCL	04-Dec-21	9.77
DCL	05-Mar-21	8.41
DCL	05-Apr-21	8.49
DCL	05-May-21	8.57
DCL	05-Jun-21	8.77
DCL	06-Jan-21	10.53
DCL	06-Feb-21	10.49
DCL	06-Mar-21	10.54
DCL	06-Apr-21	10.69
DCL	06-Jul-21	11.57
DCL	06-Aug-21	11.42
DCL	06-Sep-21	11.19
DCL	06-Oct-21	11.61
DCL	06-Nov-21	11.55
DCL	07-Jan-21	12.25
DCL	07-Feb-21	12.05
DCL	07-May-21	12.4
DCL	07-Jun-21	11.89
DCL	07-Jul-21	11.82
DCL	07-Aug-21	12.41
DCL	07-Sep-21	12.78
DCL	07-Dec-21	12.37
DCL	08-Feb-21	10.69
DCL	08-Mar-21	10.93
DCL	08-Apr-21	10.81
DCL	08-May-21	10.94
DCL	08-Jun-21	10.83
