date	close
04-Mar-20	27.45
04-Mar-20	27.74
04-Mar-20	61.58
04-Mar-20	67.09
04-Mar-20	67.82
04-Mar-20	76.38
04-Mar-20	149.96
04-Mar-20	277.28
06-Mar-20	8
06-Mar-20	8.35
06-Mar-20	26.38
06-Mar-20	31.45
06-Mar-20	70.13
06-Mar-20	77.98
06-Mar-20	81.21
06-Mar-20	86.08
06-Mar-20	185.94
06-Mar-20	288.72
07-Mar-20	8.04
07-Mar-20	9.68
07-Mar-20	26.34
07-Mar-20	30.37
07-Mar-20	73.68
07-Mar-20	74.93
07-Mar-20	90.45
07-Mar-20	91.88
07-Mar-20	198.59
07-Mar-20	298.16
08-Mar-20	9.28
08-Mar-20	10.34
08-Mar-20	32.04
08-Mar-20	34.78
08-Mar-20	78.48
08-Mar-20	81.46
08-Mar-20	106.27
08-Mar-20	128.94
08-Mar-20	317.46
08-Mar-20	317.98
09-Mar-20	11.14
09-Mar-20	11.77
09-Mar-20	39.16
09-Mar-20	43.61
09-Mar-20	84.47
09-Mar-20	89.73
09-Mar-20	117.63
09-Mar-20	143.82
09-Mar-20	303.29
09-Mar-20	328.3
11-Mar-20	9.76
11-Mar-20	10.06
11-Mar-20	41.69
11-Mar-20	43.68
11-Mar-20	69.5
11-Mar-20	82.04
11-Mar-20	112.44
11-Mar-20	137.86
11-Mar-20	308
11-Mar-20	325.44
12-Mar-20	9.62
12-Mar-20	9.93
04-Jul-20	26.99
04-Jul-20	59.3
04-Jul-20	69.28
04-Jul-20	69.55
04-Jul-20	76.8
04-Jul-20	136.88
04-Jul-20	272.21
05-Jul-20	7.19
05-Jul-20	8.5
05-Jul-20	27.53
05-Jul-20	27.61
05-Jul-20	67.05
05-Jul-20	77.17
05-Jul-20	78.72
05-Jul-20	80.38
05-Jul-20	164.3
05-Jul-20	305.23
07-Jul-20	8.39
07-Jul-20	9.48
07-Jul-20	26.99
07-Jul-20	32
07-Jul-20	70.75
07-Jul-20	75.01
07-Jul-20	93.04
07-Jul-20	98.39
07-Jul-20	221.87
07-Jul-20	295.94
08-Jul-20	9.7
08-Jul-20	10.28
08-Jul-20	31.2
08-Jul-20	34.04
08-Jul-20	77.35
08-Jul-20	79.78
08-Jul-20	106.17
08-Jul-20	133.49
08-Jul-20	313.92
08-Jul-20	367.8
09-Jul-20	11.52
09-Jul-20	12.93
09-Jul-20	41.39
09-Jul-20	46.37
09-Jul-20	83.12
09-Jul-20	93.66
09-Jul-20	116.2
09-Jul-20	142.09
09-Jul-20	303.18
09-Jul-20	325.67
10-Jul-20	9.56
10-Jul-20	9.69
10-Jul-20	42.56
10-Jul-20	43.59
10-Jul-20	74.42
10-Jul-20	76.59
10-Jul-20	111.08
10-Jul-20	116.22
10-Jul-20	269.74
10-Jul-20	298.38
12-Jul-20	9.68
12-Jul-20	9.97
12-Jul-20	41.15
12-Jul-20	46.05
12-Jul-20	70.16
12-Jul-20	84.59
12-Jul-20	105.75
12-Jul-20	134.38
12-Jul-20	303.08
12-Jul-20	316.04
01-Aug-20	7.3
01-Aug-20	12.36
01-Aug-20	28.79
01-Aug-20	32.03
01-Aug-20	48.95
01-Aug-20	72.06
01-Aug-20	76.24
01-Aug-20	95.03
01-Aug-20	199.12
01-Aug-20	347.41
04-Aug-20	6.85
04-Aug-20	9.5
04-Aug-20	25.49
04-Aug-20	26.26
04-Aug-20	58.91
04-Aug-20	69.22
04-Aug-20	69.25
04-Aug-20	76.8
04-Aug-20	131.56
04-Aug-20	269.61
05-Aug-20	7.23
05-Aug-20	8.44
05-Aug-20	26.56
05-Aug-20	27.11
05-Aug-20	65.99
05-Aug-20	78.44
05-Aug-20	79.35
05-Aug-20	80.49
05-Aug-20	161.94
05-Aug-20	303.73
06-Aug-20	8.01
06-Aug-20	8.48
06-Aug-20	26.43
06-Aug-20	30.94
06-Aug-20	69.37
06-Aug-20	76.03
06-Aug-20	83.37
06-Aug-20	88.61
06-Aug-20	193.3
06-Aug-20	289.41
07-Aug-20	8.28
07-Aug-20	9.4
07-Aug-20	26.9
07-Aug-20	34.4
07-Aug-20	70.31
07-Aug-20	74.45
07-Aug-20	95.31
07-Aug-20	101.23
07-Aug-20	218.45
07-Aug-20	295.08
09-Aug-20	11.08
09-Aug-20	12
09-Aug-20	39.96
09-Aug-20	44.2
09-Aug-20	82.5
09-Aug-20	91.23
09-Aug-20	113.79
09-Aug-20	138.69
09-Aug-20	303.46
09-Aug-20	317.26
10-Aug-20	9.54
10-Aug-20	9.77
10-Aug-20	44.02
10-Aug-20	44.56
10-Aug-20	73.33
10-Aug-20	77.11
10-Aug-20	110.08
10-Aug-20	124.93
10-Aug-20	267.1
10-Aug-20	301.33
12-Aug-20	9.88
12-Aug-20	10.17
12-Aug-20	40.73
12-Aug-20	46.43
12-Aug-20	69.76
12-Aug-20	84.42
12-Aug-20	107.35
12-Aug-20	136.58
12-Aug-20	304.89
12-Aug-20	314.16
01-Sep-20	8.17
01-Sep-20	13.31
01-Sep-20	30.1
01-Sep-20	33.63
01-Sep-20	51.39
01-Sep-20	75.66
01-Sep-20	78.69
01-Sep-20	98.68
01-Sep-20	209.07
01-Sep-20	354.19
03-Sep-20	8.39
03-Sep-20	10.72
03-Sep-20	28.63
03-Sep-20	30.12
03-Sep-20	65
03-Sep-20	76.98
03-Sep-20	84.82
03-Sep-20	85.54
03-Sep-20	213.31
03-Sep-20	301
04-Sep-20	7.21
04-Sep-20	10
04-Sep-20	26.82
04-Sep-20	27.4
04-Sep-20	60.87
04-Sep-20	74.41
04-Sep-20	74.44
04-Sep-20	78.11
04-Sep-20	136.57
04-Sep-20	274.55
06-Sep-20	7.93
06-Sep-20	8.6
06-Sep-20	26.15
06-Sep-20	30.93
06-Sep-20	69.75
06-Sep-20	75.15
06-Sep-20	83.18
06-Sep-20	87.95
06-Sep-20	198.11
06-Sep-20	287.92
07-Sep-20	8.19
07-Sep-20	9.3
07-Sep-20	27.54
